Start,End
00:18:47.958,00:18:50.083
00:18:50.083,00:18:51.333
00:18:51.333,00:18:52.208
00:18:52.208,00:18:54.208
00:18:54.208,00:18:55.958
00:18:55.958,00:18:58.625
00:18:58.625,00:19:08.708
00:19:08.708,00:19:18.583
00:19:18.583,00:19:21.625
00:19:21.625,00:19:26.167
00:19:26.167,00:19:27.833
00:19:27.833,00:19:28.708
00:19:28.708,00:19:29.750
00:19:29.750,00:19:34.333
00:19:34.333,00:19:40.208
00:19:40.208,00:19:42.125
00:19:42.125,00:19:45.875
00:19:45.875,00:19:51.333
00:19:51.333,00:19:54.333
00:19:54.333,00:20:02.375
00:20:02.375,00:20:10.083
00:20:10.083,00:20:11.750
00:20:11.750,00:20:17.500
00:20:17.500,00:20:18.583
00:20:18.583,00:20:21.083
00:20:21.083,00:20:35.583
00:20:35.583,00:20:37.125
00:20:37.125,00:20:37.958
00:20:37.958,00:20:38.833
00:20:38.833,00:20:39.458
00:20:39.458,00:20:40.708
00:20:40.708,00:20:42.750
00:20:42.750,00:20:44.000
00:20:44.000,00:20:45.208
00:20:45.208,00:20:47.542
00:20:47.542,00:20:48.625
00:20:48.625,00:20:50.125
00:20:50.125,00:20:51.583
00:20:51.583,00:20:52.708
00:20:52.708,00:20:53.583
00:20:53.583,00:20:54.667
00:20:54.667,00:20:55.333
00:20:55.333,00:20:55.958
00:20:55.958,00:20:58.208
00:20:58.208,00:21:02.750
00:21:02.750,00:21:03.833
00:21:03.833,00:21:07.458
00:21:07.458,00:21:08.208
00:21:08.208,00:21:10.833
00:21:10.833,00:21:11.500
00:21:11.500,00:21:13.083
00:21:13.083,00:21:14.125
00:21:14.125,00:21:16.833
00:21:16.833,00:21:19.083
00:21:19.083,00:21:21.708
00:21:21.708,00:21:23.458
00:21:23.458,00:21:25.833
00:21:25.833,00:21:26.833
00:21:26.833,00:21:27.583
00:21:27.583,00:21:29.083
00:21:29.083,00:21:30.208
00:21:30.208,00:21:31.333
00:21:31.333,00:21:32.750
00:21:32.750,00:21:35.583
00:21:35.583,00:21:36.708
00:21:36.708,00:21:37.875
00:21:37.875,00:21:39.333
00:21:39.333,00:21:40.625
00:21:40.625,00:21:42.958
00:21:42.958,00:21:46.500
00:21:46.500,00:21:48.333
00:21:48.333,00:21:52.875
00:21:52.875,00:21:55.000
00:21:55.000,00:21:55.833
00:21:55.833,00:21:57.833
00:21:57.833,00:21:59.250
00:21:59.250,00:22:00.083
00:22:00.083,00:22:01.083
00:22:01.083,00:22:01.958
00:22:01.958,00:22:04.000
00:22:04.000,00:22:09.083
00:22:09.083,00:22:11.458
00:22:11.458,00:22:13.208
00:22:13.208,00:22:13.875
00:22:13.875,00:22:16.583
00:22:16.583,00:22:17.708
00:22:17.708,00:22:19.250
00:22:19.250,00:22:20.708
00:22:20.708,00:22:23.333
00:22:23.333,00:22:27.000
00:22:27.000,00:22:28.708
00:22:28.708,00:22:30.625
00:22:30.625,00:22:32.958
00:22:32.958,00:22:35.000
00:22:35.000,00:22:36.458
00:22:36.458,00:22:37.875
00:22:37.875,00:22:39.083
00:22:39.083,00:22:39.833
00:22:39.833,00:22:41.208
00:22:41.208,00:22:42.083
00:22:42.083,00:22:43.250
00:22:43.250,00:22:44.958
00:22:44.958,00:22:46.958
00:22:46.958,00:22:48.958
00:22:48.958,00:22:51.458
00:22:51.458,00:22:52.250
00:22:52.250,00:22:54.208
00:22:54.208,00:22:55.125
00:22:55.125,00:22:56.208
00:22:56.208,00:22:59.833
00:22:59.833,00:23:00.625
00:23:00.625,00:23:13.708
00:23:13.708,00:23:16.500
00:23:16.500,00:23:37.500
00:23:37.500,00:23:38.500
00:23:38.500,00:23:39.333
00:23:39.333,00:23:44.458
00:23:44.458,00:23:45.833
00:23:45.833,00:23:51.708
00:23:51.708,00:23:52.833
00:23:52.833,00:23:57.708
00:23:57.708,00:24:02.333
00:24:02.333,00:24:04.958
00:24:04.958,00:24:07.875
00:24:07.875,00:24:16.208
00:24:16.208,00:24:19.708
00:24:19.708,00:24:22.250
00:24:22.250,00:24:24.125
00:24:24.125,00:24:26.500
00:24:26.500,00:24:29.208
00:24:29.208,00:24:30.708
00:24:30.708,00:24:31.833
00:24:31.833,00:24:32.458
00:24:32.458,00:24:40.958
00:24:40.958,00:24:45.583
00:24:45.583,00:24:47.708
00:24:47.708,00:24:48.583
00:24:48.583,00:24:50.708
00:24:50.708,00:24:53.833
00:24:53.833,00:24:56.333
00:24:56.333,00:25:05.833
00:25:05.833,00:25:11.583
00:25:11.583,00:25:13.833
00:25:13.833,00:25:19.083
00:25:19.083,00:25:20.958
00:25:20.958,00:25:24.208
00:25:24.208,00:25:28.333
00:25:28.333,00:25:34.208
00:25:34.208,00:25:38.833
00:25:38.833,00:25:41.250
00:25:41.250,00:25:56.000
00:25:56.000,00:25:57.750
00:25:57.750,00:25:59.000
00:25:59.000,00:26:00.458
00:26:00.458,00:26:07.458
00:26:07.458,00:26:19.750
00:26:19.750,00:26:24.500
00:26:24.500,00:26:27.958
00:26:27.958,00:26:29.958
00:26:29.958,00:26:35.958
00:26:35.958,00:26:37.958
00:26:37.958,00:26:41.583
00:26:41.583,00:26:44.125
00:26:44.125,00:26:46.375
00:26:46.375,00:26:51.250
00:26:51.250,00:26:53.583
00:26:53.583,00:26:54.875
00:26:54.875,00:26:56.833
00:26:56.833,00:27:00.500
00:27:00.500,00:27:02.458
00:27:02.458,00:27:04.125
00:27:04.125,00:27:15.083
00:27:15.083,00:27:19.250
00:27:19.250,00:27:23.458
00:27:23.458,00:27:26.375
00:27:26.375,00:27:27.958
