Start,End
00:50:29.240,00:50:35.200
00:50:35.200,00:50:50.200
00:50:50.200,00:51:03.240
00:51:03.240,00:51:08.520
00:51:08.520,00:51:11.480
00:51:11.480,00:51:13.600
00:51:13.600,00:51:42.520
00:51:42.520,00:51:48.400
00:51:48.400,00:51:50.800
00:51:50.800,00:52:04.800
00:52:04.800,00:52:24.680
00:52:24.680,00:52:31.720
00:52:31.720,00:52:46.400
00:52:46.400,00:52:48.560
00:52:48.560,00:52:58.720
00:52:58.720,00:53:20.920
00:53:20.920,00:53:21.920
00:53:21.920,00:53:27.800
00:53:27.800,00:53:28.720
00:53:28.720,00:53:30.240
00:53:30.240,00:53:36.640
00:53:36.640,00:53:37.560
00:53:37.560,00:53:39.560
00:53:39.560,00:53:42.120
00:53:42.120,00:53:45.360
00:53:45.360,00:53:52.200
00:53:52.200,00:53:54.240
00:53:54.240,00:53:59.320
00:53:59.320,00:54:02.880
00:54:02.880,00:54:04.240
00:54:04.240,00:54:11.600
00:54:11.600,00:54:12.800
00:54:12.800,00:54:18.120
00:54:18.120,00:54:21.120
00:54:21.120,00:54:29.800
00:54:29.800,00:54:32.680
00:54:32.680,00:54:43.320
00:54:43.320,00:54:56.480
00:54:56.480,00:54:57.880
00:54:57.880,00:55:08.040
00:55:08.040,00:55:12.240
00:55:12.240,00:55:16.160
00:55:16.160,00:55:27.160
00:55:27.160,00:55:29.480
00:55:29.480,00:55:31.200
00:55:31.200,00:55:36.320
00:55:36.320,00:55:41.160
00:55:41.160,00:55:59.960
00:55:59.960,00:56:03.600
00:56:03.600,00:56:10.440
00:56:10.440,00:56:12.080
00:56:12.080,00:56:13.520
00:56:13.520,00:56:18.040
00:56:18.040,00:56:26.960
00:56:26.960,00:56:40.120
00:56:40.120,00:56:45.720
00:56:45.720,00:57:05.200
00:57:05.200,00:57:07.080
00:57:07.080,00:57:32.840
00:57:32.840,00:57:51.920
00:57:51.920,00:58:16.440
00:58:16.440,00:58:18.400
00:58:18.400,00:58:20.600
00:58:20.600,00:58:29.560
00:58:29.560,00:58:31.320
00:58:31.320,00:58:35.160
00:58:35.160,00:58:43.320
00:58:43.320,00:58:49.680
00:58:49.680,00:58:51.800
00:58:51.800,00:58:53.480
00:58:53.480,00:58:54.520
00:58:54.520,00:58:58.040
00:58:58.040,00:59:09.480
00:59:09.480,00:59:22.080
00:59:22.080,00:59:33.320
00:59:33.320,00:59:34.720
00:59:34.720,00:59:43.000
00:59:43.000,00:59:49.200
00:59:49.200,00:59:54.360
00:59:54.360,00:59:59.320
00:59:59.320,01:00:04.280
01:00:04.280,01:00:17.080
01:00:17.080,01:00:18.800
01:00:18.800,01:00:20.320
01:00:20.320,01:00:21.120
01:00:21.120,01:00:22.000
01:00:22.000,01:00:43.760
01:00:43.760,01:00:45.480
01:00:45.480,01:00:58.400
01:00:58.400,01:01:01.240
01:01:01.240,01:01:08.480
01:01:08.480,01:01:10.200
01:01:10.200,01:01:13.280
01:01:13.280,01:01:15.800
01:01:15.800,01:01:19.920
01:01:19.920,01:01:23.400
01:01:23.400,01:01:26.040
01:01:26.040,01:01:28.200
01:01:28.200,01:01:28.920
01:01:28.920,01:01:31.440
01:01:31.440,01:01:34.360
01:01:34.360,01:01:40.680
01:01:40.680,01:01:42.120
01:01:42.120,01:01:52.920
01:01:52.920,01:01:54.760
01:01:54.760,01:01:59.240
01:01:59.240,01:02:02.440
01:02:02.440,01:02:12.880
01:02:12.880,01:02:15.600
01:02:15.600,01:02:19.280
01:02:19.280,01:02:33.840
01:02:33.840,01:02:36.680
01:02:36.680,01:02:51.920
01:02:51.920,01:02:53.400
01:02:53.400,01:02:56.040
01:02:56.040,01:02:57.160
01:02:57.160,01:03:09.200
01:03:09.200,01:03:12.160
01:03:12.160,01:03:13.320
01:03:13.320,01:03:14.520
01:03:14.520,01:03:18.280
01:03:18.280,01:03:24.680
01:03:24.680,01:03:33.000
01:03:33.000,01:03:34.480
01:03:34.480,01:03:40.360
01:03:40.360,01:03:43.880
01:03:43.880,01:03:46.400
01:03:46.400,01:03:49.200
01:03:49.200,01:03:51.160
01:03:51.160,01:03:53.440
01:03:53.440,01:03:55.200
01:03:55.200,01:04:09.720
01:04:09.720,01:04:10.880
01:04:10.880,01:04:13.000
01:04:13.000,01:04:14.040
01:04:14.040,01:04:14.640
01:04:14.640,01:04:15.240
01:04:15.240,01:04:16.960
01:04:16.960,01:04:18.960
01:04:18.960,01:04:19.920
01:04:19.920,01:04:20.720
01:04:20.720,01:04:21.680
01:04:21.680,01:04:24.320
01:04:24.320,01:04:25.360
01:04:25.360,01:04:27.960
01:04:27.960,01:04:31.320
01:04:31.320,01:04:33.800
01:04:33.800,01:04:34.520
01:04:34.520,01:04:36.560
01:04:36.560,01:04:39.480
01:04:39.480,01:04:45.600
01:04:45.600,01:04:48.080
01:04:48.080,01:04:49.640
01:04:49.640,01:04:51.840
01:04:51.840,01:04:54.480
01:04:54.480,01:04:57.000
01:04:57.000,01:04:59.520
01:04:59.520,01:05:03.920
01:05:03.920,01:05:05.760
01:05:05.760,01:05:10.760
01:05:10.760,01:05:13.720
01:05:13.720,01:05:16.960
01:05:16.960,01:05:21.720
01:05:21.720,01:05:24.040
01:05:24.040,01:05:29.560
01:05:29.560,01:05:31.080
01:05:31.080,01:05:33.320
01:05:33.320,01:05:34.000
01:05:34.000,01:05:36.600
01:05:36.600,01:05:37.440
01:05:37.440,01:05:38.560
01:05:38.560,01:05:44.440
01:05:44.440,01:05:58.680
01:05:58.680,01:05:59.720
01:05:59.720,01:06:00.640
01:06:00.640,01:06:02.480
01:06:02.480,01:06:03.880
01:06:03.880,01:06:05.800
01:06:05.800,01:06:07.320
01:06:07.320,01:06:13.560
01:06:13.560,01:06:17.320
01:06:17.320,01:06:19.200
01:06:19.200,01:06:21.200
01:06:21.200,01:06:23.840
01:06:23.840,01:06:24.680
01:06:24.680,01:06:25.720
01:06:25.720,01:06:26.320
01:06:26.320,01:06:27.520
01:06:27.520,01:06:29.480
01:06:29.480,01:06:40.880
01:06:40.880,01:06:51.960
01:06:51.960,01:06:54.560
01:06:54.560,01:06:55.600
01:06:55.600,01:06:57.200
01:06:57.200,01:06:58.840
01:06:58.840,01:07:06.560
01:07:06.560,01:07:12.760
01:07:12.760,01:07:22.800
01:07:22.800,01:07:32.320
01:07:32.320,01:07:36.280
01:07:36.280,01:07:40.000
01:07:40.000,01:07:43.040
01:07:43.040,01:07:47.000
01:07:47.000,01:07:48.640
01:07:48.640,01:07:49.960
01:07:49.960,01:07:51.640
01:07:51.640,01:07:53.040
01:07:53.040,01:07:53.720
01:07:53.720,01:07:55.960
01:07:55.960,01:07:57.040
01:07:57.040,01:07:58.040
01:07:58.040,01:07:58.800
01:07:58.800,01:07:59.680
01:07:59.680,01:08:01.760
01:08:01.760,01:08:03.160
01:08:03.160,01:08:16.360
01:08:16.360,01:08:17.880
01:08:17.880,01:08:19.800
01:08:19.800,01:08:23.240
01:08:23.240,01:08:26.200
01:08:26.200,01:08:31.520
01:08:31.520,01:08:44.760
01:08:44.760,01:08:51.080
01:08:51.080,01:08:52.200
01:08:52.200,01:08:53.240
01:08:53.240,01:08:54.080
01:08:54.080,01:08:59.800
01:08:59.800,01:09:03.240
01:09:03.240,01:09:08.040
01:09:08.040,01:09:10.640
01:09:10.640,01:09:25.360
01:09:25.360,01:09:32.760
01:09:32.760,01:09:45.040
01:09:45.040,01:10:00.280
01:10:00.280,01:10:05.840
01:10:05.840,01:10:13.520
01:10:13.520,01:10:15.840
01:10:15.840,01:10:19.240
01:10:19.240,01:10:33.640
01:10:33.640,01:10:34.520
01:10:34.520,01:10:35.800
01:10:35.800,01:10:39.080
01:10:39.080,01:10:40.560
01:10:40.560,01:10:47.040
01:10:47.040,01:11:08.440
01:11:08.440,01:11:14.160
01:11:14.160,01:11:16.640
01:11:16.640,01:11:18.760
01:11:18.760,01:11:19.960
01:11:19.960,01:11:44.200
01:11:44.200,01:11:50.240
01:11:50.240,01:12:17.080
01:12:17.080,01:13:20.360
01:13:20.360,01:13:30.640
01:13:30.640,01:13:34.640
01:13:34.640,01:13:40.800
01:13:40.800,01:13:44.000
01:13:44.000,01:13:48.360
01:13:48.360,01:13:50.920
01:13:50.920,01:13:55.760
01:13:55.760,01:14:00.880
01:14:00.880,01:14:17.680
01:14:17.680,01:14:20.960
01:14:20.960,01:14:24.480
01:14:24.480,01:14:39.280
01:14:39.280,01:14:50.480
01:14:50.480,01:15:05.760
01:15:05.760,01:15:16.480
01:15:16.480,01:15:17.600
01:15:17.600,01:15:19.080
01:15:19.080,01:15:25.400
01:15:25.400,01:15:31.200
01:15:31.200,01:15:47.640
01:15:47.640,01:15:51.280
01:15:51.280,01:15:53.080
01:15:53.080,01:16:07.320
01:16:07.320,01:16:08.480
01:16:08.480,01:16:13.400
01:16:13.400,01:16:14.600
01:16:14.600,01:16:16.400
01:16:16.400,01:16:17.680
01:16:17.680,01:16:28.520
01:16:28.520,01:16:30.160
01:16:30.160,01:16:36.320
01:16:36.320,01:16:38.480
01:16:38.480,01:16:56.560
01:16:56.560,01:16:58.680
01:16:58.680,01:17:16.160
01:17:16.160,01:17:18.160
01:17:18.160,01:17:23.160
01:17:23.160,01:17:24.800
01:17:24.800,01:17:30.080
01:17:30.080,01:17:32.800
01:17:32.800,01:17:37.200
01:17:37.200,01:17:42.440
01:17:42.440,01:17:44.760
01:17:44.760,01:17:52.040
01:17:52.040,01:17:53.720
01:17:53.720,01:17:54.560
01:17:54.560,01:17:58.480
01:17:58.480,01:18:01.440
01:18:01.440,01:18:09.880
01:18:09.880,01:18:18.040
01:18:18.040,01:18:36.400
01:18:36.400,01:18:42.200
01:18:42.200,01:18:43.480
01:18:43.480,01:18:50.840
01:18:50.840,01:18:53.040
01:18:53.040,01:19:14.800
01:19:14.800,01:19:16.440
01:19:16.440,01:19:21.320
01:19:21.320,01:19:24.720
01:19:24.720,01:19:26.680
01:19:26.680,01:19:31.760
01:19:31.760,01:19:37.960
01:19:37.960,01:19:42.120
01:19:42.120,01:19:44.640
01:19:44.640,01:19:46.120
01:19:46.120,01:19:52.880
