Start,End
00:28:06.059,00:28:09.062
00:28:09.062,00:28:13.483
00:28:13.483,00:28:14.484
00:28:14.484,00:28:16.862
00:28:16.862,00:28:20.991
00:28:20.991,00:28:22.075
00:28:22.075,00:28:25.579
00:28:25.579,00:28:29.958
00:28:29.958,00:28:32.085
00:28:32.085,00:28:38.759
00:28:38.759,00:28:40.510
00:28:40.510,00:28:42.638
00:28:42.638,00:29:12.751
00:29:12.751,00:29:15.629
00:29:15.629,00:29:18.840
00:29:18.840,00:29:21.134
00:29:21.134,00:29:21.969
00:29:21.969,00:29:23.053
00:29:23.053,00:29:24.346
00:29:24.346,00:29:25.013
00:29:25.013,00:29:26.890
00:29:26.890,00:29:28.308
00:29:28.308,00:29:42.406
00:29:42.406,00:29:52.165
00:29:52.165,00:29:56.378
00:29:56.378,00:29:58.422
00:29:58.422,00:30:04.469
00:30:04.469,00:30:06.888
00:30:06.888,00:30:08.432
00:30:08.432,00:30:11.435
00:30:11.435,00:30:14.479
00:30:14.479,00:30:17.983
00:30:17.983,00:30:21.236
00:30:21.236,00:30:27.617
00:30:27.617,00:30:30.245
00:30:30.245,00:30:38.879
00:30:38.879,00:30:40.756
00:30:40.756,00:30:47.512
00:30:47.512,00:31:05.155
00:31:05.155,00:31:22.923
00:31:22.923,00:31:28.887
00:31:28.887,00:31:31.640
00:31:31.640,00:31:34.476
00:31:34.476,00:31:38.105
00:31:38.105,00:31:39.940
00:31:39.940,00:31:46.696
00:31:46.696,00:31:51.159
00:31:51.159,00:31:53.161
00:31:53.161,00:31:56.289
00:31:56.289,00:31:59.084
00:31:59.084,00:32:00.502
00:32:00.502,00:32:01.545
00:32:01.545,00:32:02.796
00:32:02.796,00:32:06.299
00:32:06.299,00:32:13.515
00:32:13.515,00:32:22.691
00:32:22.691,00:32:29.197
00:32:29.197,00:32:32.701
00:32:32.701,00:32:36.705
00:32:36.705,00:32:40.167
00:32:40.167,00:32:43.837
00:32:43.837,00:32:46.840
00:32:46.840,00:32:51.136
00:32:51.136,00:32:55.348
00:32:55.348,00:32:57.684
00:32:57.684,00:33:11.031
00:33:11.031,00:33:19.956
00:33:19.956,00:33:24.294
00:33:24.294,00:33:28.715
00:33:28.715,00:33:30.884
00:33:30.884,00:33:34.512
00:33:34.512,00:33:43.230
00:33:43.230,00:34:03.583
00:34:03.583,00:34:05.293
00:34:05.293,00:34:08.421
00:34:08.421,00:34:15.428
00:34:15.428,00:35:25.332
00:35:25.332,00:35:29.127
00:35:29.127,00:35:30.128
00:35:30.128,00:35:45.643
00:35:45.643,00:35:46.603
00:35:46.603,00:35:47.937
00:35:47.937,00:35:49.272
00:35:49.272,00:36:05.914
00:36:05.914,00:36:06.831
00:36:06.831,00:36:08.333
00:36:08.333,00:36:25.683
00:36:25.683,00:36:55.004
00:36:55.004,00:37:17.902
00:37:17.902,00:37:48.266
00:37:48.266,00:37:52.645
00:37:52.645,00:39:18.731
00:39:18.731,00:40:02.567
00:40:02.567,00:40:12.827
00:40:12.827,00:40:13.453
00:40:13.453,00:40:19.375
00:40:19.375,00:40:21.377
00:40:21.377,00:40:26.591
00:40:26.591,00:40:29.927
00:40:29.927,00:40:32.180
00:40:32.180,00:40:36.309
00:40:36.309,00:40:39.646
00:40:39.646,00:40:50.657
00:40:50.657,00:41:14.764
00:41:14.764,00:42:13.030
00:42:13.030,00:42:35.928
00:42:35.928,00:43:03.331
00:43:03.331,00:43:27.271
00:43:27.271,00:44:00.888
00:44:00.888,00:44:03.558
00:44:03.558,00:44:07.895
00:44:07.895,00:44:09.939
00:44:09.939,00:44:13.317
00:44:13.317,00:44:23.244
00:44:23.244,00:44:36.966
00:44:36.966,00:44:40.052
00:44:40.052,00:44:55.943
00:44:55.943,00:44:57.403
00:44:57.403,00:44:58.946
00:44:58.946,00:45:03.242
00:45:03.242,00:45:05.745
00:45:05.745,00:45:06.954
00:45:06.954,00:45:07.955
00:45:07.955,00:45:15.087
00:45:15.087,00:45:26.724
00:45:26.724,00:45:34.899
00:45:34.899,00:45:41.364
00:45:41.364,00:45:49.914
00:45:49.914,00:45:56.295
00:45:56.295,00:46:16.023
00:46:16.023,00:46:19.694
00:46:19.694,00:46:26.659
00:46:26.659,00:46:30.913
00:46:30.913,00:46:34.166
00:46:34.166,00:46:40.548
00:46:40.548,00:46:46.429
00:46:46.429,00:47:22.715
00:47:22.715,00:47:53.788
00:47:53.788,00:47:56.290
00:47:56.290,00:48:03.631
00:48:03.631,00:48:06.884
00:48:06.884,00:48:08.803
00:48:08.803,00:48:10.012
00:48:10.012,00:48:14.350
00:48:14.350,00:48:16.352
00:48:16.352,00:48:17.061
00:48:17.061,00:48:20.189
00:48:20.189,00:48:23.526
00:48:23.526,00:48:38.582
00:48:38.582,00:49:04.400
00:49:04.400,00:49:12.741
00:49:12.741,00:50:22.394
00:50:22.394,00:50:43.249
00:50:43.249,00:50:57.930
00:50:57.930,00:51:06.855
00:51:06.855,00:51:24.331
00:51:24.331,00:51:43.767
00:51:43.767,00:51:51.400
00:51:51.400,00:51:54.069
00:51:54.069,00:51:58.032
00:51:58.032,00:52:02.494
00:52:02.494,00:52:15.215
00:52:15.215,00:52:20.721
00:52:20.721,00:52:23.599
00:52:23.599,00:52:36.653
00:52:36.653,00:52:55.547
00:52:55.547,00:53:03.931
00:53:03.931,00:53:08.435
00:53:08.435,00:53:10.437
00:53:10.437,00:53:28.664
00:53:28.664,00:53:32.084
00:53:32.084,00:53:45.848
00:53:45.848,00:53:56.316
00:53:56.316,00:54:20.549
00:54:20.549,00:54:26.680
00:54:26.680,00:54:40.944
00:54:40.944,00:54:48.410
00:54:48.410,00:55:00.797
00:55:00.797,00:55:06.470
00:55:06.470,00:55:07.679
00:55:07.679,00:55:10.098
00:55:10.098,00:55:12.184
00:55:12.184,00:55:23.237
00:55:23.237,00:55:28.700
00:55:28.700,00:55:31.745
00:55:31.745,00:56:04.278
00:56:04.278,00:56:17.332
00:56:17.332,00:56:18.542
00:56:18.542,00:56:23.255
00:56:23.255,00:56:24.756
00:56:24.756,00:56:27.009
00:56:27.009,00:56:27.843
00:56:27.843,00:56:37.436
00:56:37.436,00:57:21.563
00:57:21.563,00:57:30.155
00:57:30.155,00:57:35.952
00:57:35.952,00:57:41.708
00:57:41.708,00:58:03.605
00:58:03.605,00:58:06.525
00:58:06.525,00:58:07.859
00:58:07.859,00:58:08.527
00:58:08.527,00:58:09.861
00:58:09.861,00:58:13.198
00:58:13.198,00:58:21.373
00:58:21.373,00:58:22.958
00:58:22.958,00:58:34.386
