Start,End
00:40:10.619,00:40:13.038
00:40:13.038,00:40:15.207
00:40:15.207,00:40:21.004
00:40:21.004,00:40:21.839
00:40:21.839,00:40:23.841
00:40:23.841,00:40:25.592
00:40:25.592,00:40:28.679
00:40:28.679,00:40:29.847
00:40:29.847,00:40:31.223
00:40:31.223,00:40:32.808
00:40:32.808,00:40:34.768
00:40:34.768,00:40:37.563
00:40:37.563,00:40:40.023
00:40:40.023,00:40:43.861
00:40:43.861,00:40:44.653
00:40:44.653,00:40:46.238
00:40:46.238,00:40:53.620
00:40:53.620,00:40:55.289
00:40:55.289,00:40:57.165
00:40:57.165,00:40:57.833
00:40:57.833,00:41:04.756
00:41:04.756,00:41:07.217
00:41:07.217,00:41:14.141
00:41:14.141,00:41:17.728
00:41:17.728,00:41:18.520
00:41:18.520,00:41:19.479
00:41:19.479,00:41:20.647
00:41:20.647,00:41:21.607
00:41:21.607,00:41:23.525
00:41:23.525,00:41:24.568
00:41:24.568,00:41:26.570
00:41:26.570,00:41:29.031
00:41:29.031,00:41:30.949
00:41:30.949,00:41:33.327
00:41:33.327,00:41:34.369
00:41:34.369,00:41:35.662
00:41:35.662,00:41:37.539
00:41:37.539,00:41:41.543
00:41:41.543,00:41:44.546
00:41:44.546,00:41:48.300
00:41:48.300,00:41:51.220
00:41:51.220,00:42:10.155
00:42:10.155,00:42:13.617
00:42:13.617,00:42:17.454
00:42:17.454,00:42:19.456
00:42:19.456,00:42:33.554
00:42:33.554,00:42:41.061
00:42:41.061,00:42:45.983
00:42:45.983,00:42:49.778
00:42:49.778,00:42:59.538
00:42:59.538,00:43:02.749
00:43:02.749,00:43:04.293
00:43:04.293,00:43:10.048
00:43:10.048,00:43:13.260
00:43:13.260,00:43:17.431
00:43:17.431,00:43:28.942
00:43:28.942,00:43:37.951
00:43:37.951,00:43:45.959
00:43:45.959,00:44:06.688
00:44:06.688,00:44:09.900
00:44:09.900,00:44:14.738
00:44:14.738,00:44:17.991
00:44:17.991,00:44:28.836
00:44:28.836,00:44:37.594
